,Made Donation in March 2007
659,0.295454545454545
276,0.106666666666667
263,0.228070175438597
303,0.106666666666667
83,0.607594936708861
500,0.607594936708861
530,0.228070175438597
244,0.106666666666667
249,0.106666666666667
728,0.106666666666667
129,0.106666666666667
534,0.106666666666667
317,0.295454545454545
401,0.228070175438597
696,0.228070175438597
192,0.106666666666667
176,0.106666666666667
571,0.607594936708861
139,0.106666666666667
423,0.228070175438597
563,0.607594936708861
56,0.607594936708861
528,0.607594936708861
101,0.228070175438597
467,0.228070175438597
382,0.295454545454545
466,0.228070175438597
294,0.106666666666667
512,0.228070175438597
659,0.295454545454545
389,0.295454545454545
487,0.106666666666667
701,0.228070175438597
419,0.295454545454545
536,0.228070175438597
240,0.106666666666667
508,0.228070175438597
515,0.106666666666667
283,0.607594936708861
650,0.228070175438597
65,0.228070175438597
228,0.106666666666667
741,0.106666666666667
297,0.607594936708861
464,0.106666666666667
63,0.228070175438597
231,0.228070175438597
28,0.106666666666667
248,0.106666666666667
357,0.106666666666667
300,0.295454545454545
726,0.295454545454545
680,0.106666666666667
520,0.607594936708861
254,0.106666666666667
582,0.106666666666667
143,0.295454545454545
98,0.607594936708861
1,0.228070175438597
221,0.295454545454545
352,0.228070175438597
64,0.106666666666667
138,0.106666666666667
745,0.295454545454545
64,0.106666666666667
688,0.106666666666667
623,0.106666666666667
289,0.106666666666667
174,0.607594936708861
690,0.228070175438597
105,0.106666666666667
427,0.106666666666667
48,0.106666666666667
14,0.228070175438597
657,0.106666666666667
301,0.106666666666667
455,0.106666666666667
579,0.295454545454545
722,0.106666666666667
98,0.607594936708861
491,0.106666666666667
303,0.106666666666667
466,0.228070175438597
65,0.228070175438597
300,0.295454545454545
9,0.106666666666667
622,0.106666666666667
323,0.106666666666667
289,0.106666666666667
568,0.228070175438597
290,0.228070175438597
156,0.228070175438597
464,0.106666666666667
426,0.106666666666667
306,0.106666666666667
4,0.106666666666667
12,0.607594936708861
187,0.106666666666667
406,0.106666666666667
96,0.228070175438597
509,0.228070175438597
733,0.106666666666667
548,0.106666666666667
478,0.607594936708861
501,0.106666666666667
127,0.228070175438597
199,0.106666666666667
299,0.607594936708861
162,0.228070175438597
235,0.106666666666667
23,0.106666666666667
473,0.228070175438597
487,0.106666666666667
683,0.607594936708861
303,0.106666666666667
309,0.106666666666667
569,0.106666666666667
34,0.607594936708861
686,0.607594936708861
84,0.228070175438597
733,0.106666666666667
537,0.607594936708861
181,0.106666666666667
453,0.295454545454545
67,0.295454545454545
161,0.295454545454545
307,0.607594936708861
703,0.106666666666667
181,0.106666666666667
246,0.106666666666667
316,0.607594936708861
278,0.106666666666667
346,0.106666666666667
545,0.228070175438597
419,0.295454545454545
694,0.228070175438597
622,0.106666666666667
663,0.106666666666667
262,0.607594936708861
461,0.295454545454545
373,0.295454545454545
233,0.228070175438597
466,0.228070175438597
207,0.295454545454545
263,0.228070175438597
16,0.106666666666667
513,0.106666666666667
449,0.607594936708861
429,0.106666666666667
701,0.228070175438597
632,0.106666666666667
529,0.607594936708861
245,0.106666666666667
344,0.106666666666667
353,0.106666666666667
241,0.106666666666667
633,0.106666666666667
624,0.228070175438597
726,0.295454545454545
189,0.106666666666667
138,0.106666666666667
402,0.106666666666667
511,0.607594936708861
590,0.106666666666667
334,0.228070175438597
447,0.106666666666667
119,0.228070175438597
389,0.295454545454545
644,0.228070175438597
423,0.228070175438597
131,0.106666666666667
405,0.106666666666667
82,0.228070175438597
643,0.295454545454545
156,0.228070175438597
617,0.106666666666667
574,0.228070175438597
272,0.295454545454545
613,0.106666666666667
545,0.228070175438597
685,0.106666666666667
570,0.106666666666667
537,0.607594936708861
691,0.106666666666667
85,0.295454545454545
483,0.106666666666667
455,0.106666666666667
93,0.106666666666667
744,0.228070175438597
33,0.106666666666667
321,0.295454545454545
523,0.228070175438597
426,0.106666666666667
196,0.106666666666667
301,0.106666666666667
103,0.106666666666667
224,0.106666666666667
454,0.106666666666667
585,0.106666666666667
154,0.295454545454545
